06-26-2017 15:15:55,23.81,23.31,23.50,23.88
06-26-2017 15:16:55,23.81,23.31,23.50,23.94
06-26-2017 15:17:55,23.81,23.25,23.44,23.88
06-26-2017 15:18:56,23.75,23.31,23.44,23.88
06-26-2017 15:19:56,23.81,23.31,23.50,23.88
06-26-2017 15:20:56,23.81,23.31,23.50,23.88
06-26-2017 15:23:15,23.88,23.44,23.63,23.94
06-26-2017 15:24:15,23.88,23.44,23.56,23.94
06-26-2017 15:25:15,23.88,23.38,23.63,24.00
06-26-2017 15:26:15,23.88,23.38,23.63,24.00
06-26-2017 15:27:15,23.88,23.44,23.56,24.00
06-26-2017 15:28:15,23.81,23.31,23.56,24.00
06-26-2017 15:29:15,23.81,23.38,23.56,24.00
06-26-2017 15:30:15,23.75,23.31,23.56,23.94
06-26-2017 15:34:01,23.75,23.31,23.50,23.94
06-26-2017 15:35:01,23.75,23.31,23.50,23.94
06-26-2017 15:36:02,23.69,23.25,23.50,23.94
06-26-2017 15:37:02,23.69,23.19,23.56,23.94
06-26-2017 15:38:02,23.69,23.25,23.50,24.00
06-26-2017 15:39:02,23.69,23.19,23.44,23.94
06-26-2017 15:40:02,23.69,23.19,23.44,23.94
06-26-2017 15:41:02,23.69,23.19,23.50,23.94
06-26-2017 15:42:02,23.63,23.19,23.38,23.94
06-26-2017 15:43:02,23.69,23.19,23.44,23.94
06-26-2017 15:44:02,23.69,23.19,23.44,23.94
06-26-2017 15:46:46,23.69,23.19,23.44,23.94
06-26-2017 15:47:46,23.69,23.13,23.44,23.94
